Algoritmo,Base,Repeticao,|D|,|D+|,|D-|,Atributos,|I|,Tempo,Testes,Seed,WRAcc,WRAccN,size,TP,FP,overollSuppP,CoverRedundancyP,DescripRDensity,DescripRDominator,Qg,Chi_Quad,p_value,Lift,DiffSup,K,GrowthRate,OddsRatio,cov,conf,supp,suppP,suppN
SSDPHD1-k10-foWRAccN,alon-clean50-pn-quartil50,1,62,40,22,1000,3000,0.394,150601,179424673,0.099323621,0.397294485,1.7,17.9,0.3,1,0.380167598,0.941176471,0.2,15.15,12.99082152,4.72E-04,1.525934211,0.433863636,10,Infinity,Infinity,0.293548387,0.984473684,0.288709677,0.4475,0.013636364
SSDPHD1-k10-foWRAccN,alon-clean50-pn-quartil50,2,62,40,22,1000,3000,0.015,5651,125164703,0.099063476,0.396253902,1.6,18.4,0.6,1,0.345652174,0.9375,0.2,15.36666667,12.89010496,6.11E-04,1.516416667,0.432727273,10,Infinity,Infinity,0.306451613,0.978333333,0.296774194,0.46,0.027272727
SSDPHD1-k10-foWRAccN,alon-clean50-pn-quartil50,3,62,40,22,1000,3000,0.062,25334,132011827,0.098335068,0.393340271,1.5,19,1,1,0.336842105,0.933333333,0.2,14.83333333,12.5907025,8.29E-04,1.498333333,0.429545455,10,Infinity,Infinity,0.322580645,0.966666667,0.306451613,0.475,0.045454545
SSDPHD1-k10-foWRAccN,alon-clean50-pn-quartil50,4,62,40,22,1000,3000,0.009,4151,124987441,0.098335068,0.393340271,1.5,19,1,1,0.336842105,0.933333333,0.2,14.83333333,12.5907025,8.29E-04,1.498333333,0.429545455,10,Infinity,Infinity,0.322580645,0.966666667,0.306451613,0.475,0.045454545
SSDPHD1-k10-foWRAccN,alon-clean50-pn-quartil50,5,62,40,22,1000,3000,0.046,21259,123979721,0.098335068,0.393340271,1.5,19,1,1,0.344736842,0.933333333,0.2,14.83333333,12.5907025,8.29E-04,1.498333333,0.429545455,10,Infinity,Infinity,0.322580645,0.966666667,0.306451613,0.475,0.045454545
,,,,,,,,,,,,1.973569199,,,,,,,,,,,,,,,,,,,,
SSDPHD1-k10-foWRAccN,burczynski-clean50-pn-quartil50,1,127,59,68,11142,33426,8.099,1072494,179424673,0.113987228,0.455948912,1.1,29.9,3.3,0.983050847,0.355648773,1,0.1,8.095,34.69537705,2.00E-08,1.946863839,0.458250249,10,13.87212806,27.15588779,0.261417323,0.904448555,0.235433071,0.506779661,0.048529412
SSDPHD1-k10-foWRAccN,burczynski-clean50-pn-quartil50,2,127,59,68,11142,33426,0.016,3791,125164703,0.113987228,0.455948912,1.1,29.9,3.3,0.983050847,0.355648773,1,0.1,8.095,34.69537705,2.00E-08,1.946863839,0.458250249,10,13.87212806,27.15588779,0.261417323,0.904448555,0.235433071,0.506779661,0.048529412
SSDPHD1-k10-foWRAccN,burczynski-clean50-pn-quartil50,3,127,59,68,11142,33426,0.016,3383,132011827,0.113987228,0.455948912,1.1,29.9,3.3,0.983050847,0.355648773,1,0.1,8.095,34.69537705,2.00E-08,1.946863839,0.458250249,10,13.87212806,27.15588779,0.261417323,0.904448555,0.235433071,0.506779661,0.048529412
SSDPHD1-k10-foWRAccN,burczynski-clean50-pn-quartil50,4,127,59,68,11142,33426,0.014,3326,124987441,0.113875628,0.455502511,1.1,29.7,3.1,1,0.377675056,1,0.1,8.155,34.78233537,1.51E-08,1.953281676,0.457801595,10,13.96359968,27.29713647,0.258267717,0.90743007,0.233858268,0.503389831,0.045588235
SSDPHD1-k10-foWRAccN,burczynski-clean50-pn-quartil50,5,127,59,68,11142,33426,0.015,3175,123979721,0.113875628,0.455502511,1.1,29.7,3.1,1,0.377675056,1,0.1,8.155,34.78233537,1.51E-08,1.953281676,0.457801595,10,13.96359968,27.29713647,0.258267717,0.90743007,0.233858268,0.503389831,0.045588235
,,,,,,,,,,,,2.278851758,,,,,,,,,,,,,,,,,,,,
SSDPHD1-k10-foWRAccN,chin-clean50-pn-quartil50,1,118,75,43,11108,33324,7.185,1434459,179424673,0.102707555,0.410830221,1.9,35.7,1.4,0.986666667,0.360560224,0.842105263,0.3,21.82666667,25.57009251,1.38E-06,1.523406609,0.44344186,10,Infinity,Infinity,0.31440678,0.968266912,0.302542373,0.476,0.03255814
SSDPHD1-k10-foWRAccN,chin-clean50-pn-quartil50,2,118,75,43,11108,33324,0.028,7457,125164703,0.102707555,0.410830221,1.9,35.7,1.4,0.986666667,0.360560224,0.842105263,0.3,21.82666667,25.57009251,1.38E-06,1.523406609,0.44344186,10,Infinity,Infinity,0.31440678,0.968266912,0.302542373,0.476,0.03255814
SSDPHD1-k10-foWRAccN,chin-clean50-pn-quartil50,3,118,75,43,11108,33324,0.008,2070,132011827,0.102398736,0.409594944,1.9,35.6,1.4,0.986666667,0.351835206,0.842105263,0.3,21.72666667,25.4633952,1.42E-06,1.523406609,0.442108527,10,Infinity,Infinity,0.313559322,0.968266912,0.301694915,0.474666667,0.03255814
