Algoritmo,Base,Repeticao,|D|,|D+|,|D-|,Atributos,|I|,Tempo,Testes,Seed,WRAcc,WRAccN,size,TP,FP,overollSuppP,CoverRedundancyP,DescripRDensity,DescripRDominator,Qg,Chi_Quad,p_value,Lift,DiffSup,K,GrowthRate,OddsRatio,cov,conf,supp,suppP,suppN
SSDPHD1-k10-foWRAccN,alon-clean50-pn-quartil50,1,62,40,22,1000,3000,0.406,150601,179424673,0.092117586,0.368470343,1.75,17.55,0.8,1,0.365669516,0.742857143,0.2,12.47083333,11.34789571,0.001253374,1.49468166,0.402386364,20,Infinity,Infinity,0.295967742,0.964310749,0.283064516,0.43875,0.036363636
SSDPHD1-k10-foWRAccN,alon-clean50-pn-quartil50,2,62,40,22,1000,3000,0.014,5651,125164703,0.08582206,0.343288241,1.55,18.45,1.9,1,0.361653117,0.806451613,0.15,9.392857143,9.647110842,0.003796522,1.432586348,0.374886364,20,Infinity,Infinity,0.328225806,0.924249257,0.297580645,0.46125,0.086363636
SSDPHD1-k10-foWRAccN,alon-clean50-pn-quartil50,3,62,40,22,1000,3000,0.062,25334,132011827,0.083220604,0.332882414,1.7,17.45,1.6,1,0.369627507,0.705882353,0.2,9.863095238,9.415273791,0.003909483,1.448950601,0.363522727,20,Infinity,Infinity,0.307258065,0.934806839,0.281451613,0.43625,0.072727273
SSDPHD1-k10-foWRAccN,alon-clean50-pn-quartil50,4,62,40,22,1000,3000,0.011,4151,124987441,0.084079084,0.336316337,1.6,17.6,1.6,1,0.325,0.8125,0.2,10.90267857,9.737236709,0.00641897,1.453647865,0.367272727,20,Infinity,Infinity,0.309677419,0.937837332,0.283870968,0.44,0.072727273
SSDPHD1-k10-foWRAccN,alon-clean50-pn-quartil50,5,62,40,22,1000,3000,0.052,21259,123979721,0.085744017,0.342976067,1.65,17.8,1.55,1,0.326966292,0.757575758,0.15,10.95952381,9.980413214,0.004622501,1.453733748,0.374545455,20,Infinity,Infinity,0.312096774,0.93789274,0.287096774,0.445,0.070454545
,,,,,,,,,,,,1.723933403,,,,,,,,,,,,,,,,,,,,
SSDPHD1-k10-foWRAccN,burczynski-clean50-pn-quartil50,1,127,59,68,11142,33426,5.831,1072494,179424673,0.106001612,0.424006448,1.1,28.7,4.1,1,0.363786689,0.954545455,0.1,6.389583333,30.26435382,2.39E-07,1.887616937,0.42614656,20,10.1877428,19.20934495,0.258267717,0.876924404,0.225984252,0.486440678,0.060294118
SSDPHD1-k10-foWRAccN,burczynski-clean50-pn-quartil50,2,127,59,68,11142,33426,0.015,3791,125164703,0.106575113,0.426300453,1.05,29.4,4.75,1,0.364118529,1,0.05,6.378668831,30.32744728,3.31E-07,1.875049221,0.428452144,20,10.20768362,19.38397466,0.268897638,0.871085859,0.231496063,0.498305085,0.069852941
SSDPHD1-k10-foWRAccN,burczynski-clean50-pn-quartil50,3,127,59,68,11142,33426,0.013,3383,132011827,0.105902412,0.423609647,1.05,28.85,4.3,1,0.384161208,1,0.05,6.758214286,30.49637816,2.35E-07,1.895782584,0.425747757,20,11.23344633,20.89158675,0.261023622,0.880717893,0.227165354,0.488983051,0.063235294
SSDPHD1-k10-foWRAccN,burczynski-clean50-pn-quartil50,4,127,59,68,11142,33426,0.013,3326,124987441,0.106382913,0.425531651,1.1,28.4,3.65,1,0.417462402,0.954545455,0.1,6.905833333,30.90194497,1.72E-07,1.911039913,0.427679462,20,11.48824052,21.37445085,0.252362205,0.887805944,0.223622047,0.481355932,0.053676471
SSDPHD1-k10-foWRAccN,burczynski-clean50-pn-quartil50,5,127,59,68,11142,33426,0.012,3175,123979721,0.106113212,0.424452849,1.05,28.9,4.3,1,0.409360155,1,0.05,6.783214286,30.578612,2.24E-07,1.895995286,0.426595214,20,11.29107345,21.03216285,0.261417323,0.880816707,0.227559055,0.489830508,0.063235294
,,,,,,,,,,,,2.123901048,,,,,,,,,,,,,,,,,,,,
SSDPHD1-k10-foWRAccN,chin-clean50-pn-quartil50,1,118,75,43,11108,33324,6.989,1434459,179424673,0.098613904,0.394455616,1.95,34.2,1.3,1,0.314853801,0.769230769,0.25,19.99666667,23.94275749,2.05E-06,1.521750442,0.425767442,20,Infinity,Infinity,0.300847458,0.967214264,0.289830508,0.456,0.030232558
SSDPHD1-k10-foWRAccN,chin-clean50-pn-quartil50,2,118,75,43,11108,33324,0.027,7457,125164703,0.089618644,0.358474576,1.8,34.95,3.4,1,0.296080114,0.75,0.15,12.82386364,19.79464489,2.71E-05,1.45926721,0.386930233,20,Infinity,Infinity,0.325,0.927500345,0.296186441,0.466,0.079069767
SSDPHD1-k10-foWRAccN,chin-clean50-pn-quartil50,3,118,75,43,11108,33324,0.009,2070,132011827,0.091852198,0.367408791,1.8,35.15,3.1,1,0.311692745,0.666666667,0.2,13.71318182,20.64338997,2.73E-05,1.466543386,0.396573643,20,Infinity,Infinity,0.324152542,0.932125033,0.297881356,0.468666667,0.072093023
SSDPHD1-k10-foWRAccN,chin-clean50-pn-quartil50,4,118,75,43,11108,33324,0.02,5159,124987441,0.088228957,0.352915829,1.8,34.5,3.4,1,0.288115942,0.611111111,0.15,14.18651515,19.45546997,3.73E-05,1.461467291,0.380930233,20,Infinity,Infinity,0.321186441,0.928898702,0.292372881,0.46,0.079069767
SSDPHD1-k10-foWRAccN,chin-clean50-pn-quartil50,5,118,75,43,11108,33324,0.019,4858,123979721,0.090440965,0.361763861,1.75,36.35,4.05,1,0.275213205,0.742857143,0.1,12.41177156,19.7903144,5.34E-05,1.443244628,0.39048062,20,Infinity,Infinity,0.342372881,0.917316501,0.308050847,0.484666667,0.094186047
,,,,,,,,,,,,1.835018673,,,,,,,,,,,,,,,,,,,,
SSDPHD1-k10-foWRAccN,christensen-clean50-pn-quartil50,1,217,113,104,707,2121,0.627,102307,179424673,0.126699441,0.506797766,1.6,61.55,3.85,1,0.254919017,0.90625,0.1,25.55490801,67.56245118,2.36E-15,1.823923239,0.507671035,20,Infinity,Infinity,0.301382488,0.949784913,0.283640553,0.544690265,0.037019231
SSDPHD1-k10-foWRAccN,christensen-clean50-pn-quartil50,2,217,113,104,707,2121,0.039,7019,125164703,0.123209242,0.492836968,1.45,60.35,4.2,1,0.21785895,0.965517241,0.1,30.70220238,65.44893016,2.38E-12,1.82749515,0.493686181,20,Infinity,Infinity,0.297465438,0.95164494,0.278110599,0.534070796,0.040384615
SSDPHD1-k10-foWRAccN,christensen-clean50-pn-quartil50,3,217,113,104,707,2121,0.267,49617,132011827,0.120760687,0.483042749,1.6,59.35,4.3,1,0.241361057,0.90625,0.1,31.15777972,63.13277998,2.53E-12,1.816812461,0.483875085,20,Infinity,Infinity,0.293317972,0.946082065,0.273502304,0.525221239,0.041346154
SSDPHD1-k10-foWRAccN,christensen-clean50-pn-quartil50,4,217,113,104,707,2121,0.041,7108,124987441,0.119833719,0.479334877,1.5,58.55,3.95,1,0.268524746,0.933333333,0.1,27.91325758,62.471199,9.10E-13,1.818890766,0.480160824,20,Infinity,Infinity,0.288018433,0.947164316,0.269815668,0.518141593,0.037980769
SSDPHD1-k10-foWRAccN,christensen-clean50-pn-quartil50,5,217,113,104,707,2121,0.211,39343,123979721,0.120549385,0.482197541,1.55,59.2,4.25,1,0.256054174,0.935483871,0.1,30.24493867,63.14433583,7.61E-12,1.820251058,0.483028421,20,Infinity,Infinity,0.292396313,0.947872671,0.27281106,0.523893805,0.040865385
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSDPmais-k10-foWRAccN,alon-clean50-pn-quartil50,1,62,40,22,1000,3000,0.672,135210,179424673,0.095577523,0.382310094,1.5,18.7,1.1,1,0.386631016,0.866666667,0.2,12.725,11.8061482,9.20E-04,1.483362252,0.4175,10,Infinity,Infinity,0.319354839,0.957007904,0.301612903,0.4675,0.05
SSDPmais-k10-foWRAccN,alon-clean50-pn-quartil50,2,62,40,22,1000,3000,0.361,132250,125164703,0.1,0.4,1.8,18.2,0.4,0.95,0.361538462,0.888888889,0.2,15.06666667,13.03890605,5.07E-04,1.519593301,0.436818182,10,Infinity,Infinity,0.3,0.980382775,0.293548387,0.455,0.018181818
SSDPmais-k10-foWRAccN,alon-clean50-pn-quartil50,3,62,40,22,1000,3000,0.321,129236,132011827,0.095733611,0.382934443,1.5,18,0.7,0.975,0.366666667,0.866666667,0.2,14.16666667,12.13715917,7.98E-04,1.507397661,0.418181818,10,Infinity,Infinity,0.301612903,0.97251462,0.290322581,0.45,0.031818182
SSDPmais-k10-foWRAccN,alon-clean50-pn-quartil50,4,62,40,22,1000,3000,0.375,147239,124987441,0.100156087,0.40062435,1.6,17.5,0,1,0.395714286,0.875,0.2,17.5,13.47586601,3.38E-04,1.55,0.4375,10,Infinity,Infinity,0.282258065,1,0.282258065,0.4375,0
SSDPmais-k10-foWRAccN,alon-clean50-pn-quartil50,5,62,40,22,1000,3000,0.328,141252,123979721,0.09817898,0.392715921,1.6,17.7,0.3,0.975,0.396327684,0.875,0.2,15.46666667,12.82102826,5.33E-04,1.527751196,0.428863636,10,Infinity,Infinity,0.290322581,0.985645933,0.285483871,0.4425,0.013636364
,,,,,,,,,,,,1.958584807,,,,,,,,,,,,,,,,,,,,
SSDPmais-k10-foWRAccN,burczynski-clean50-pn-quartil50,1,127,59,68,11142,33426,5.97,969458,179424673,0.112722425,0.450889702,1.1,29.6,3.3,0.983050847,0.40929913,1,0.1,7.936666667,34.09820676,2.86E-08,1.942374173,0.453165503,10,13.5759887,26.46546679,0.259055118,0.902362805,0.233070866,0.501694915,0.048529412
SSDPmais-k10-foWRAccN,burczynski-clean50-pn-quartil50,2,127,59,68,11142,33426,5.483,1036313,125164703,0.113199826,0.452799306,1.2,29.8,3.4,1,0.328062791,0.916666667,0.2,7.93,34.23741929,2.66E-08,1.940137145,0.455084746,10,13.56478343,26.50660464,0.261417323,0.901323555,0.234645669,0.505084746,0.05
SSDPmais-k10-foWRAccN,burczynski-clean50-pn-quartil50,3,127,59,68,11142,33426,4.886,735473,132011827,0.113199826,0.452799306,1.1,29.8,3.4,1,0.387441702,1,0.1,7.92,34.24262298,2.28E-08,1.940345724,0.455084746,10,13.54877589,26.46956223,0.261417323,0.901420455,0.234645669,0.505084746,0.05
SSDPmais-k10-foWRAccN,burczynski-clean50-pn-quartil50,4,127,59,68,11142,33426,5.896,1036313,124987441,0.113199826,0.452799306,1.1,29.8,3.4,1,0.387441702,1,0.1,7.92,34.24262298,2.28E-08,1.940345724,0.455084746,10,13.54877589,26.46956223,0.261417323,0.901420455,0.234645669,0.505084746,0.05
SSDPmais-k10-foWRAccN,burczynski-clean50-pn-quartil50,5,127,59,68,11142,33426,5.44,1002878,123979721,0.113621427,0.454485709,1.2,29.9,3.4,1,0.317782439,0.916666667,0.2,7.94,34.42092928,1.84E-08,1.941161081,0.456779661,10,13.57758945,26.5710676,0.262204724,0.901799242,0.235433071,0.506779661,0.05
,,,,,,,,,,,,2.263773328,,,,,,,,,,,,,,,,,,,,
SSDPmais-k10-foWRAccN,chin-clean50-pn-quartil50,1,118,75,43,11108,33324,7.837,1366450,179424673,0.104854927,0.419419707,1.9,35,0.6,0.933333333,0.455238095,0.789473684,0.4,28.83333333,27.14530242,3.50E-07,1.555399745,0.452713178,10,Infinity,Infinity,0.301694915,0.988601533,0.296610169,0.466666667,0.013953488
SSDPmais-k10-foWRAccN,chin-clean50-pn-quartil50,2,118,75,43,11108,33324,5.25,1099806,125164703,0.098305085,0.393220339,1.5,34.1,1.3,1,0.28340176,0.866666667,0.3,21.17666667,24.14354689,2.22E-06,1.526509894,0.424434109,10,Infinity,Infinity,0.3,0.970239339,0.288983051,0.454666667,0.030232558
SSDPmais-k10-foWRAccN,chin-clean50-pn-quartil50,3,118,75,43,11108,33324,5.888,1233142,132011827,0.103928469,0.415713875,1.9,34.7,0.6,0.933333333,0.460634006,0.789473684,0.5,28.53333333,26.81507871,4.09E-07,1.555399745,0.448713178,10,Infinity,Infinity,0.299152542,0.988601533,0.294067797,0.462666667,0.013953488
