Algoritmo,Base,Repeticao,|D|,|D+|,|D-|,Atributos,|I|,Tempo,Testes,Seed,WRAcc,WRAccN,size,TP,FP,overollSuppP,CoverRedundancyP,DescripRDensity,DescripRDominator,Qg,Chi_Quad,p_value,Lift,DiffSup,K,GrowthRate,OddsRatio,cov,conf,supp,suppP,suppN
SSDPHD1-k10-foQg,alon-clean50-pn-quartil50,1,62,40,22,1000,3000,0.518,132351,179424673,0.095577523,0.382310094,1.6,16.7,0,1,0.409580838,0.8125,0.3,16.7,12.60431929,4.55E-04,1.55,0.4175,10,Infinity,Infinity,0.269354839,1,0.269354839,0.4175,0
SSDPHD1-k10-foQg,alon-clean50-pn-quartil50,2,62,40,22,1000,3000,0.135,51101,125164703,0.090998959,0.363995838,1.7,15.9,0,0.95,0.396855346,0.882352941,0.2,15.9,11.84160878,9.31E-04,1.55,0.3975,10,Infinity,Infinity,0.256451613,1,0.256451613,0.3975,0
SSDPHD1-k10-foQg,alon-clean50-pn-quartil50,3,62,40,22,1000,3000,0.063,24376,132011827,0.089281998,0.357127992,1.7,15.6,0,0.95,0.412820513,0.941176471,0.2,15.6,11.5602157,0.001136508,1.55,0.39,10,Infinity,Infinity,0.251612903,1,0.251612903,0.39,0
SSDPHD1-k10-foQg,alon-clean50-pn-quartil50,4,62,40,22,1000,3000,0.04,13603,124987441,0.089281998,0.357127992,1.8,15.6,0,0.975,0.462820513,0.777777778,0.3,15.6,11.5602157,0.001136508,1.55,0.39,10,Infinity,Infinity,0.251612903,1,0.251612903,0.39,0
SSDPHD1-k10-foQg,alon-clean50-pn-quartil50,5,62,40,22,1000,3000,0.031,11789,123979721,0.088709677,0.35483871,1.9,15.5,0,0.975,0.446774194,0.684210526,0.3,15.5,11.46650116,0.00120067,1.55,0.3875,10,Infinity,Infinity,0.25,1,0.25,0.3875,0
SSDPHD1-k10-foQg,alon-clean50-pn-quartil50,6,62,40,22,1000,3000,0.024,9751,119777719,0.088137357,0.352549428,1.9,15.4,0,0.975,0.434415584,0.736842105,0.3,15.4,11.37661171,0.001302591,1.55,0.385,10,Infinity,Infinity,0.248387097,1,0.248387097,0.385,0
SSDPHD1-k10-foQg,alon-clean50-pn-quartil50,7,62,40,22,1000,3000,0.023,9115,117705823,0.088137357,0.352549428,1.9,15.4,0,0.975,0.434415584,0.736842105,0.3,15.4,11.37661171,0.001302591,1.55,0.385,10,Infinity,Infinity,0.248387097,1,0.248387097,0.385,0
SSDPHD1-k10-foQg,alon-clean50-pn-quartil50,8,62,40,22,1000,3000,0.025,8414,112131119,0.088137357,0.352549428,1.9,15.4,0,0.975,0.434415584,0.736842105,0.3,15.4,11.37661171,0.001302591,1.55,0.385,10,Infinity,Infinity,0.248387097,1,0.248387097,0.385,0
SSDPHD1-k10-foQg,alon-clean50-pn-quartil50,9,62,40,22,1000,3000,0.006,2321,108626351,0.086992716,0.347970864,1.7,15.2,0,0.975,0.413157895,0.882352941,0.3,15.2,11.20402395,0.00162155,1.55,0.38,10,Infinity,Infinity,0.24516129,1,0.24516129,0.38,0
SSDPHD1-k10-foQg,alon-clean50-pn-quartil50,10,62,40,22,1000,3000,0.007,2483,107980007,0.086992716,0.347970864,1.7,15.2,0,0.975,0.413157895,0.882352941,0.3,15.2,11.20402395,0.00162155,1.55,0.38,10,Infinity,Infinity,0.24516129,1,0.24516129,0.38,0
